file_id,class_id,class_name,noise_type,snr_db,clip_index,impulse_timestamps,n_impulses,noisy_path,clean_path
cls0_field_gen_60hz_snr+10dB_clip01_0028,0,stationary,field_gen_60hz,10,1,[],0,data/defense_dataset\noisy\cls0_field_gen_60hz_snr+10dB_clip01_0028.wav,data/defense_dataset\clean\cls0_field_gen_60hz_snr+10dB_clip01_0028.wav
cls0_field_gen_60hz_snr+10dB_clip02_0029,0,stationary,field_gen_60hz,10,2,[],0,data/defense_dataset\noisy\cls0_field_gen_60hz_snr+10dB_clip02_0029.wav,data/defense_dataset\clean\cls0_field_gen_60hz_snr+10dB_clip02_0029.wav
cls0_tank_diesel_snr-10dB_clip00_0030,0,stationary,tank_diesel,-10,0,[],0,data/defense_dataset\noisy\cls0_tank_diesel_snr-10dB_clip00_0030.wav,data/defense_dataset\clean\cls0_tank_diesel_snr-10dB_clip00_0030.wav
cls0_tank_diesel_snr-10dB_clip01_0031,0,stationary,tank_diesel,-10,1,[],0,data/defense_dataset\noisy\cls0_tank_diesel_snr-10dB_clip01_0031.wav,data/defense_dataset\clean\cls0_tank_diesel_snr-10dB_clip01_0031.wav
cls0_tank_diesel_snr-10dB_clip02_0032,0,stationary,tank_diesel,-10,2,[],0,data/defense_dataset\noisy\cls0_tank_diesel_snr-10dB_clip02_0032.wav,data/defense_dataset\clean\cls0_tank_diesel_snr-10dB_clip02_0032.wav
cls0_tank_diesel_snr-5dB_clip00_0033,0,stationary,tank_diesel,-5,0,[],0,data/defense_dataset\noisy\cls0_tank_diesel_snr-5dB_clip00_0033.wav,data/defense_dataset\clean\cls0_tank_diesel_snr-5dB_clip00_0033.wav
cls0_tank_diesel_snr-5dB_clip01_0034,0,stationary,tank_diesel,-5,1,[],0,data/defense_dataset\noisy\cls0_tank_diesel_snr-5dB_clip01_0034.wav,data/defense_dataset\clean\cls0_tank_diesel_snr-5dB_clip01_0034.wav
cls0_tank_diesel_snr-5dB_clip02_0035,0,stationary,tank_diesel,-5,2,[],0,data/defense_dataset\noisy\cls0_tank_diesel_snr-5dB_clip02_0035.wav,data/defense_dataset\clean\cls0_tank_diesel_snr-5dB_clip02_0035.wav
cls0_tank_diesel_snr+0dB_clip00_0036,0,stationary,tank_diesel,0,0,[],0,data/defense_dataset\noisy\cls0_tank_diesel_snr+0dB_clip00_0036.wav,data/defense_dataset\clean\cls0_tank_diesel_snr+0dB_clip00_0036.wav
cls0_tank_diesel_snr+0dB_clip01_0037,0,stationary,tank_diesel,0,1,[],0,data/defense_dataset\noisy\cls0_tank_diesel_snr+0dB_clip01_0037.wav,data/defense_dataset\clean\cls0_tank_diesel_snr+0dB_clip01_0037.wav
cls0_tank_diesel_snr+0dB_clip02_0038,0,stationary,tank_diesel,0,2,[],0,data/defense_dataset\noisy\cls0_tank_diesel_snr+0dB_clip02_0038.wav,data/defense_dataset\clean\cls0_tank_diesel_snr+0dB_clip02_0038.wav
cls0_tank_diesel_snr+5dB_clip00_0039,0,stationary,tank_diesel,5,0,[],0,data/defense_dataset\noisy\cls0_tank_diesel_snr+5dB_clip00_0039.wav,data/defense_dataset\clean\cls0_tank_diesel_snr+5dB_clip00_0039.wav
cls0_tank_diesel_snr+5dB_clip01_0040,0,stationary,tank_diesel,5,1,[],0,data/defense_dataset\noisy\cls0_tank_diesel_snr+5dB_clip01_0040.wav,data/defense_dataset\clean\cls0_tank_diesel_snr+5dB_clip01_0040.wav
cls0_tank_diesel_snr+5dB_clip02_0041,0,stationary,tank_diesel,5,2,[],0,data/defense_dataset\noisy\cls0_tank_diesel_snr+5dB_clip02_0041.wav,data/defense_dataset\clean\cls0_tank_diesel_snr+5dB_clip02_0041.wav
cls0_tank_diesel_snr+10dB_clip00_0042,0,stationary,tank_diesel,10,0,[],0,data/defense_dataset\noisy\cls0_tank_diesel_snr+10dB_clip00_0042.wav,data/defense_dataset\clean\cls0_tank_diesel_snr+10dB_clip00_0042.wav
cls0_tank_diesel_snr+10dB_clip01_0043,0,stationary,tank_diesel,10,1,[],0,data/defense_dataset\noisy\cls0_tank_diesel_snr+10dB_clip01_0043.wav,data/defense_dataset\clean\cls0_tank_diesel_snr+10dB_clip01_0043.wav
cls0_tank_diesel_snr+10dB_clip02_0044,0,stationary,tank_diesel,10,2,[],0,data/defense_dataset\noisy\cls0_tank_diesel_snr+10dB_clip02_0044.wav,data/defense_dataset\clean\cls0_tank_diesel_snr+10dB_clip02_0044.wav
cls0_drone_hum_snr-10dB_clip00_0045,0,stationary,drone_hum,-10,0,[],0,data/defense_dataset\noisy\cls0_drone_hum_snr-10dB_clip00_0045.wav,data/defense_dataset\clean\cls0_drone_hum_snr-10dB_clip00_0045.wav
cls0_drone_hum_snr-10dB_clip01_0046,0,stationary,drone_hum,-10,1,[],0,data/defense_dataset\noisy\cls0_drone_hum_snr-10dB_clip01_0046.wav,data/defense_dataset\clean\cls0_drone_hum_snr-10dB_clip01_0046.wav
cls0_drone_hum_snr-10dB_clip02_0047,0,stationary,drone_hum,-10,2,[],0,data/defense_dataset\noisy\cls0_drone_hum_snr-10dB_clip02_0047.wav,data/defense_dataset\clean\cls0_drone_hum_snr-10dB_clip02_0047.wav
cls0_drone_hum_snr-5dB_clip00_0048,0,stationary,drone_hum,-5,0,[],0,data/defense_dataset\noisy\cls0_drone_hum_snr-5dB_clip00_0048.wav,data/defense_dataset\clean\cls0_drone_hum_snr-5dB_clip00_0048.wav
cls0_drone_hum_snr-5dB_clip01_0049,0,stationary,drone_hum,-5,1,[],0,data/defense_dataset\noisy\cls0_drone_hum_snr-5dB_clip01_0049.wav,data/defense_dataset\clean\cls0_drone_hum_snr-5dB_clip01_0049.wav
cls0_drone_hum_snr-5dB_clip02_0050,0,stationary,drone_hum,-5,2,[],0,data/defense_dataset\noisy\cls0_drone_hum_snr-5dB_clip02_0050.wav,data/defense_dataset\clean\cls0_drone_hum_snr-5dB_clip02_0050.wav
cls0_drone_hum_snr+0dB_clip00_0051,0,stationary,drone_hum,0,0,[],0,data/defense_dataset\noisy\cls0_drone_hum_snr+0dB_clip00_0051.wav,data/defense_dataset\clean\cls0_drone_hum_snr+0dB_clip00_0051.wav
cls0_drone_hum_snr+0dB_clip01_0052,0,stationary,drone_hum,0,1,[],0,data/defense_dataset\noisy\cls0_drone_hum_snr+0dB_clip01_0052.wav,data/defense_dataset\clean\cls0_drone_hum_snr+0dB_clip01_0052.wav
cls0_drone_hum_snr+0dB_clip02_0053,0,stationary,drone_hum,0,2,[],0,data/defense_dataset\noisy\cls0_drone_hum_snr+0dB_clip02_0053.wav,data/defense_dataset\clean\cls0_drone_hum_snr+0dB_clip02_0053.wav
cls0_drone_hum_snr+5dB_clip00_0054,0,stationary,drone_hum,5,0,[],0,data/defense_dataset\noisy\cls0_drone_hum_snr+5dB_clip00_0054.wav,data/defense_dataset\clean\cls0_drone_hum_snr+5dB_clip00_0054.wav
cls0_drone_hum_snr+5dB_clip01_0055,0,stationary,drone_hum,5,1,[],0,data/defense_dataset\noisy\cls0_drone_hum_snr+5dB_clip01_0055.wav,data/defense_dataset\clean\cls0_drone_hum_snr+5dB_clip01_0055.wav
cls0_drone_hum_snr+5dB_clip02_0056,0,stationary,drone_hum,5,2,[],0,data/defense_dataset\noisy\cls0_drone_hum_snr+5dB_clip02_0056.wav,data/defense_dataset\clean\cls0_drone_hum_snr+5dB_clip02_0056.wav
cls0_drone_hum_snr+10dB_clip00_0057,0,stationary,drone_hum,10,0,[],0,data/defense_dataset\noisy\cls0_drone_hum_snr+10dB_clip00_0057.wav,data/defense_dataset\clean\cls0_drone_hum_snr+10dB_clip00_0057.wav
cls0_drone_hum_snr+10dB_clip01_0058,0,stationary,drone_hum,10,1,[],0,data/defense_dataset\noisy\cls0_drone_hum_snr+10dB_clip01_0058.wav,data/defense_dataset\clean\cls0_drone_hum_snr+10dB_clip01_0058.wav
cls0_drone_hum_snr+10dB_clip02_0059,0,stationary,drone_hum,10,2,[],0,data/defense_dataset\noisy\cls0_drone_hum_snr+10dB_clip02_0059.wav,data/defense_dataset\clean\cls0_drone_hum_snr+10dB_clip02_0059.wav
cls1_rotor_bpf_sweep_snr-10dB_clip00_0060,1,non_stationary,rotor_bpf_sweep,-10,0,[],0,data/defense_dataset\noisy\cls1_rotor_bpf_sweep_snr-10dB_clip00_0060.wav,data/defense_dataset\clean\cls1_rotor_bpf_sweep_snr-10dB_clip00_0060.wav
cls1_rotor_bpf_sweep_snr-10dB_clip01_0061,1,non_stationary,rotor_bpf_sweep,-10,1,[],0,data/defense_dataset\noisy\cls1_rotor_bpf_sweep_snr-10dB_clip01_0061.wav,data/defense_dataset\clean\cls1_rotor_bpf_sweep_snr-10dB_clip01_0061.wav
cls1_rotor_bpf_sweep_snr-10dB_clip02_0062,1,non_stationary,rotor_bpf_sweep,-10,2,[],0,data/defense_dataset\noisy\cls1_rotor_bpf_sweep_snr-10dB_clip02_0062.wav,data/defense_dataset\clean\cls1_rotor_bpf_sweep_snr-10dB_clip02_0062.wav
cls1_rotor_bpf_sweep_snr-5dB_clip00_0063,1,non_stationary,rotor_bpf_sweep,-5,0,[],0,data/defense_dataset\noisy\cls1_rotor_bpf_sweep_snr-5dB_clip00_0063.wav,data/defense_dataset\clean\cls1_rotor_bpf_sweep_snr-5dB_clip00_0063.wav
cls1_rotor_bpf_sweep_snr-5dB_clip01_0064,1,non_stationary,rotor_bpf_sweep,-5,1,[],0,data/defense_dataset\noisy\cls1_rotor_bpf_sweep_snr-5dB_clip01_0064.wav,data/defense_dataset\clean\cls1_rotor_bpf_sweep_snr-5dB_clip01_0064.wav
cls1_rotor_bpf_sweep_snr-5dB_clip02_0065,1,non_stationary,rotor_bpf_sweep,-5,2,[],0,data/defense_dataset\noisy\cls1_rotor_bpf_sweep_snr-5dB_clip02_0065.wav,data/defense_dataset\clean\cls1_rotor_bpf_sweep_snr-5dB_clip02_0065.wav
cls1_rotor_bpf_sweep_snr+0dB_clip00_0066,1,non_stationary,rotor_bpf_sweep,0,0,[],0,data/defense_dataset\noisy\cls1_rotor_bpf_sweep_snr+0dB_clip00_0066.wav,data/defense_dataset\clean\cls1_rotor_bpf_sweep_snr+0dB_clip00_0066.wav
cls1_rotor_bpf_sweep_snr+0dB_clip01_0067,1,non_stationary,rotor_bpf_sweep,0,1,[],0,data/defense_dataset\noisy\cls1_rotor_bpf_sweep_snr+0dB_clip01_0067.wav,data/defense_dataset\clean\cls1_rotor_bpf_sweep_snr+0dB_clip01_0067.wav
cls1_rotor_bpf_sweep_snr+0dB_clip02_0068,1,non_stationary,rotor_bpf_sweep,0,2,[],0,data/defense_dataset\noisy\cls1_rotor_bpf_sweep_snr+0dB_clip02_0068.wav,data/defense_dataset\clean\cls1_rotor_bpf_sweep_snr+0dB_clip02_0068.wav
cls1_rotor_bpf_sweep_snr+5dB_clip00_0069,1,non_stationary,rotor_bpf_sweep,5,0,[],0,data/defense_dataset\noisy\cls1_rotor_bpf_sweep_snr+5dB_clip00_0069.wav,data/defense_dataset\clean\cls1_rotor_bpf_sweep_snr+5dB_clip00_0069.wav
cls1_rotor_bpf_sweep_snr+5dB_clip01_0070,1,non_stationary,rotor_bpf_sweep,5,1,[],0,data/defense_dataset\noisy\cls1_rotor_bpf_sweep_snr+5dB_clip01_0070.wav,data/defense_dataset\clean\cls1_rotor_bpf_sweep_snr+5dB_clip01_0070.wav
cls1_rotor_bpf_sweep_snr+5dB_clip02_0071,1,non_stationary,rotor_bpf_sweep,5,2,[],0,data/defense_dataset\noisy\cls1_rotor_bpf_sweep_snr+5dB_clip02_0071.wav,data/defense_dataset\clean\cls1_rotor_bpf_sweep_snr+5dB_clip02_0071.wav
cls1_rotor_bpf_sweep_snr+10dB_clip00_0072,1,non_stationary,rotor_bpf_sweep,10,0,[],0,data/defense_dataset\noisy\cls1_rotor_bpf_sweep_snr+10dB_clip00_0072.wav,data/defense_dataset\clean\cls1_rotor_bpf_sweep_snr+10dB_clip00_0072.wav
cls1_rotor_bpf_sweep_snr+10dB_clip01_0073,1,non_stationary,rotor_bpf_sweep,10,1,[],0,data/defense_dataset\noisy\cls1_rotor_bpf_sweep_snr+10dB_clip01_0073.wav,data/defense_dataset\clean\cls1_rotor_bpf_sweep_snr+10dB_clip01_0073.wav
cls1_rotor_bpf_sweep_snr+10dB_clip02_0074,1,non_stationary,rotor_bpf_sweep,10,2,[],0,data/defense_dataset\noisy\cls1_rotor_bpf_sweep_snr+10dB_clip02_0074.wav,data/defense_dataset\clean\cls1_rotor_bpf_sweep_snr+10dB_clip02_0074.wav
cls1_siren_doppler_snr-10dB_clip00_0075,1,non_stationary,siren_doppler,-10,0,[],0,data/defense_dataset\noisy\cls1_siren_doppler_snr-10dB_clip00_0075.wav,data/defense_dataset\clean\cls1_siren_doppler_snr-10dB_clip00_0075.wav
cls1_siren_doppler_snr-10dB_clip01_0076,1,non_stationary,siren_doppler,-10,1,[],0,data/defense_dataset\noisy\cls1_siren_doppler_snr-10dB_clip01_0076.wav,data/defense_dataset\clean\cls1_siren_doppler_snr-10dB_clip01_0076.wav
cls1_siren_doppler_snr-10dB_clip02_0077,1,non_stationary,siren_doppler,-10,2,[],0,data/defense_dataset\noisy\cls1_siren_doppler_snr-10dB_clip02_0077.wav,data/defense_dataset\clean\cls1_siren_doppler_snr-10dB_clip02_0077.wav
cls1_siren_doppler_snr-5dB_clip00_0078,1,non_stationary,siren_doppler,-5,0,[],0,data/defense_dataset\noisy\cls1_siren_doppler_snr-5dB_clip00_0078.wav,data/defense_dataset\clean\cls1_siren_doppler_snr-5dB_clip00_0078.wav
cls1_siren_doppler_snr-5dB_clip01_0079,1,non_stationary,siren_doppler,-5,1,[],0,data/defense_dataset\noisy\cls1_siren_doppler_snr-5dB_clip01_0079.wav,data/defense_dataset\clean\cls1_siren_doppler_snr-5dB_clip01_0079.wav
cls1_siren_doppler_snr-5dB_clip02_0080,1,non_stationary,siren_doppler,-5,2,[],0,data/defense_dataset\noisy\cls1_siren_doppler_snr-5dB_clip02_0080.wav,data/defense_dataset\clean\cls1_siren_doppler_snr-5dB_clip02_0080.wav
cls1_siren_doppler_snr+0dB_clip00_0081,1,non_stationary,siren_doppler,0,0,[],0,data/defense_dataset\noisy\cls1_siren_doppler_snr+0dB_clip00_0081.wav,data/defense_dataset\clean\cls1_siren_doppler_snr+0dB_clip00_0081.wav
cls1_siren_doppler_snr+0dB_clip01_0082,1,non_stationary,siren_doppler,0,1,[],0,data/defense_dataset\noisy\cls1_siren_doppler_snr+0dB_clip01_0082.wav,data/defense_dataset\clean\cls1_siren_doppler_snr+0dB_clip01_0082.wav
cls1_siren_doppler_snr+0dB_clip02_0083,1,non_stationary,siren_doppler,0,2,[],0,data/defense_dataset\noisy\cls1_siren_doppler_snr+0dB_clip02_0083.wav,data/defense_dataset\clean\cls1_siren_doppler_snr+0dB_clip02_0083.wav
cls1_siren_doppler_snr+5dB_clip00_0084,1,non_stationary,siren_doppler,5,0,[],0,data/defense_dataset\noisy\cls1_siren_doppler_snr+5dB_clip00_0084.wav,data/defense_dataset\clean\cls1_siren_doppler_snr+5dB_clip00_0084.wav
cls1_siren_doppler_snr+5dB_clip01_0085,1,non_stationary,siren_doppler,5,1,[],0,data/defense_dataset\noisy\cls1_siren_doppler_snr+5dB_clip01_0085.wav,data/defense_dataset\clean\cls1_siren_doppler_snr+5dB_clip01_0085.wav
cls1_siren_doppler_snr+5dB_clip02_0086,1,non_stationary,siren_doppler,5,2,[],0,data/defense_dataset\noisy\cls1_siren_doppler_snr+5dB_clip02_0086.wav,data/defense_dataset\clean\cls1_siren_doppler_snr+5dB_clip02_0086.wav
cls1_siren_doppler_snr+10dB_clip00_0087,1,non_stationary,siren_doppler,10,0,[],0,data/defense_dataset\noisy\cls1_siren_doppler_snr+10dB_clip00_0087.wav,data/defense_dataset\clean\cls1_siren_doppler_snr+10dB_clip00_0087.wav
cls1_siren_doppler_snr+10dB_clip01_0088,1,non_stationary,siren_doppler,10,1,[],0,data/defense_dataset\noisy\cls1_siren_doppler_snr+10dB_clip01_0088.wav,data/defense_dataset\clean\cls1_siren_doppler_snr+10dB_clip01_0088.wav
cls1_siren_doppler_snr+10dB_clip02_0089,1,non_stationary,siren_doppler,10,2,[],0,data/defense_dataset\noisy\cls1_siren_doppler_snr+10dB_clip02_0089.wav,data/defense_dataset\clean\cls1_siren_doppler_snr+10dB_clip02_0089.wav
cls1_vehicle_rpm_ramp_snr-10dB_clip00_0090,1,non_stationary,vehicle_rpm_ramp,-10,0,[],0,data/defense_dataset\noisy\cls1_vehicle_rpm_ramp_snr-10dB_clip00_0090.wav,data/defense_dataset\clean\cls1_vehicle_rpm_ramp_snr-10dB_clip00_0090.wav
cls1_vehicle_rpm_ramp_snr-10dB_clip01_0091,1,non_stationary,vehicle_rpm_ramp,-10,1,[],0,data/defense_dataset\noisy\cls1_vehicle_rpm_ramp_snr-10dB_clip01_0091.wav,data/defense_dataset\clean\cls1_vehicle_rpm_ramp_snr-10dB_clip01_0091.wav
cls1_vehicle_rpm_ramp_snr-10dB_clip02_0092,1,non_stationary,vehicle_rpm_ramp,-10,2,[],0,data/defense_dataset\noisy\cls1_vehicle_rpm_ramp_snr-10dB_clip02_0092.wav,data/defense_dataset\clean\cls1_vehicle_rpm_ramp_snr-10dB_clip02_0092.wav
cls1_vehicle_rpm_ramp_snr-5dB_clip00_0093,1,non_stationary,vehicle_rpm_ramp,-5,0,[],0,data/defense_dataset\noisy\cls1_vehicle_rpm_ramp_snr-5dB_clip00_0093.wav,data/defense_dataset\clean\cls1_vehicle_rpm_ramp_snr-5dB_clip00_0093.wav
cls1_vehicle_rpm_ramp_snr-5dB_clip01_0094,1,non_stationary,vehicle_rpm_ramp,-5,1,[],0,data/defense_dataset\noisy\cls1_vehicle_rpm_ramp_snr-5dB_clip01_0094.wav,data/defense_dataset\clean\cls1_vehicle_rpm_ramp_snr-5dB_clip01_0094.wav
cls1_vehicle_rpm_ramp_snr-5dB_clip02_0095,1,non_stationary,vehicle_rpm_ramp,-5,2,[],0,data/defense_dataset\noisy\cls1_vehicle_rpm_ramp_snr-5dB_clip02_0095.wav,data/defense_dataset\clean\cls1_vehicle_rpm_ramp_snr-5dB_clip02_0095.wav
cls1_vehicle_rpm_ramp_snr+0dB_clip00_0096,1,non_stationary,vehicle_rpm_ramp,0,0,[],0,data/defense_dataset\noisy\cls1_vehicle_rpm_ramp_snr+0dB_clip00_0096.wav,data/defense_dataset\clean\cls1_vehicle_rpm_ramp_snr+0dB_clip00_0096.wav
cls1_vehicle_rpm_ramp_snr+0dB_clip01_0097,1,non_stationary,vehicle_rpm_ramp,0,1,[],0,data/defense_dataset\noisy\cls1_vehicle_rpm_ramp_snr+0dB_clip01_0097.wav,data/defense_dataset\clean\cls1_vehicle_rpm_ramp_snr+0dB_clip01_0097.wav
cls1_vehicle_rpm_ramp_snr+0dB_clip02_0098,1,non_stationary,vehicle_rpm_ramp,0,2,[],0,data/defense_dataset\noisy\cls1_vehicle_rpm_ramp_snr+0dB_clip02_0098.wav,data/defense_dataset\clean\cls1_vehicle_rpm_ramp_snr+0dB_clip02_0098.wav
cls1_vehicle_rpm_ramp_snr+5dB_clip00_0099,1,non_stationary,vehicle_rpm_ramp,5,0,[],0,data/defense_dataset\noisy\cls1_vehicle_rpm_ramp_snr+5dB_clip00_0099.wav,data/defense_dataset\clean\cls1_vehicle_rpm_ramp_snr+5dB_clip00_0099.wav
cls1_vehicle_rpm_ramp_snr+5dB_clip01_0100,1,non_stationary,vehicle_rpm_ramp,5,1,[],0,data/defense_dataset\noisy\cls1_vehicle_rpm_ramp_snr+5dB_clip01_0100.wav,data/defense_dataset\clean\cls1_vehicle_rpm_ramp_snr+5dB_clip01_0100.wav
cls1_vehicle_rpm_ramp_snr+5dB_clip02_0101,1,non_stationary,vehicle_rpm_ramp,5,2,[],0,data/defense_dataset\noisy\cls1_vehicle_rpm_ramp_snr+5dB_clip02_0101.wav,data/defense_dataset\clean\cls1_vehicle_rpm_ramp_snr+5dB_clip02_0101.wav
